,index,id,keywords,adult,budget,genres,imdb_id,original_language,original_title,release_date,revenue,runtime,spoken_languages,status,title,movieId,imdbId,rating,authors,average_rating,  num_pages,ratings_count,publisher,sum_of_ratings
10,36,595,"[{'id': 577, 'name': 'black people'}, {'id': 818, 'name': 'based on novel'}, {'id': 1155, 'name': 'brother sister relationship'}, {'id': 1412, 'name': 'becoming an adult'}, {'id': 1533, 'name': 'isolation'}, {'id': 1679, 'name': 'arbitrary law'}, {'id': 1952, 'name': 'socially deprived family'}, {'id': 2005, 'name': 'tree house'}, {'id': 2325, 'name': 'wrong accusal'}, {'id': 3009, 'name': 'farm worker'}, {'id': 3010, 'name': 'intolerance'}, {'id': 3011, 'name': 'exclusion'}, {'id': 3012, 'name': 'court case'}, {'id': 6094, 'name': 'defence'}, {'id': 6145, 'name': 'right and justice'}, {'id': 6148, 'name': 'court'}, {'id': 208349, 'name': 'child'}]",FALSE,2000000,Crime,tt0056592,en,To Kill a Mockingbird,12/25/62,13129846,129,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,To Kill a Mockingbird,1207,56592,4.16,Harper Lee,4.27,323,10524,Harper Perennial Modern Classics,844
11,39,235,"[{'id': 818, 'name': 'based on novel'}, {'id': 6054, 'name': 'friendship'}, {'id': 10683, 'name': 'coming of age'}, {'id': 169875, 'name': 'railroad track'}, {'id': 169878, 'name': 'story within the story'}, {'id': 169885, 'name': '\xa0flipping coin'}, {'id': 169886, 'name': 'campfire story'}, {'id': 169887, 'name': 'reference to superman'}, {'id': 169895, 'name': 'normandy beach'}, {'id': 208349, 'name': 'child'}, {'id': 208611, 'name': '1950s'}, {'id': 216919, 'name': 'boys'}]",FALSE,8000000,Crime,tt0092005,en,Stand by Me,8/22/86,52287414,89,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Stand by Me,1259,92005,3.99,Raynold Gideon,4.32,96,1436,Columbia Pictures Pubns,425253
12,40,7340,"[{'id': 818, 'name': 'based on novel'}, {'id': 1227, 'name': 'cemetery'}, {'id': 1533, 'name': 'isolation'}, {'id': 1674, 'name': 'stage'}, {'id': 2483, 'name': 'nudity'}, {'id': 3036, 'name': 'bible'}, {'id': 5086, 'name': 'telekinesis'}, {'id': 9748, 'name': 'revenge'}, {'id': 10048, 'name': 'unrequited love'}, {'id': 10266, 'name': 'prom'}, {'id': 10508, 'name': 'teacher'}, {'id': 10873, 'name': 'school'}, {'id': 11001, 'name': 'religion'}, {'id': 14624, 'name': 'cruelty'}, {'id': 14687, 'name': 'extreme violence'}, {'id': 14837, 'name': 'rage'}, {'id': 33740, 'name': 'humiliation'}, {'id': 41380, 'name': 'crucifix'}, {'id': 164346, 'name': 'praying'}, {'id': 170356, 'name': 'outsider'}, {'id': 173971, 'name': 'taunting'}, {'id': 222314, 'name': 'abusive mother'}, {'id': 226602, 'name': 'firestorm'}]",FALSE,1800000,Horror,tt0074285,en,Carrie,11/3/76,33800000,98,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Carrie,1345,74285,3.43,Stephen King,3.96,253,2707,Pocket Books,138
13,44,14832,"[{'id': 293, 'name': 'female nudity'}, {'id': 380, 'name': 'brother brother relationship'}, {'id': 818, 'name': 'based on novel'}, {'id': 966, 'name': 'beach'}, {'id': 999, 'name': 'sports car'}, {'id': 1155, 'name': 'brother sister relationship'}, {'id': 1525, 'name': 'puberty'}, {'id': 2398, 'name': 'narration'}, {'id': 2483, 'name': 'nudity'}, {'id': 2913, 'name': 'diary'}, {'id': 9855, 'name': 'slow motion scene'}, {'id': 10683, 'name': 'coming of age'}, {'id': 10877, 'name': 'dead body'}, {'id': 33841, 'name': 'incest'}, {'id': 179029, 'name': 'rubbing suntan lotion on someone'}, {'id': 210547, 'name': 'kite'}, {'id': 211677, 'name': 'sunbathing'}]",FALSE,0,Drama,tt0106535,en,The Cement Garden,2/20/93,322975,105,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Cement Garden,1437,106535,3.66,Ian McEwan,3.54,144,18376,Vintage,1003
14,45,68924,"[{'id': 818, 'name': 'based on novel'}, {'id': 1228, 'name': '1970s'}, {'id': 4543, 'name': 'thanksgiving'}, {'id': 10041, 'name': 'dysfunctional family'}, {'id': 10183, 'name': 'independent film'}]",FALSE,18000000,Drama,tt0119349,en,The Ice Storm,9/27/97,8038061,112,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Ice Storm,1635,119349,3.77,Rick Moody,3.66,288,4592,Back Bay Books,4844
15,46,19931,"[{'id': 818, 'name': 'based on novel'}, {'id': 10707, 'name': 'mother daughter relationship'}, {'id': 13159, 'name': 'chinese'}, {'id': 18035, 'name': 'family'}, {'id': 179485, 'name': 'chinese american'}]",FALSE,11000000,Drama,tt0107282,en,The Joy Luck Club,9/8/93,32861136,139,"[{'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}, {'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'zh', 'name': '普通话'}]",Released,The Joy Luck Club,1678,107282,3.69,Amy Tan,3.92,288,565524,Penguin Books,8982
16,47,18205,"[{'id': 255, 'name': 'male nudity'}, {'id': 534, 'name': 'mexico'}, {'id': 549, 'name': 'prostitute'}, {'id': 596, 'name': 'adultery'}, {'id': 738, 'name': 'sexuality'}, {'id': 818, 'name': 'based on novel'}, {'id': 1566, 'name': 'dream'}, {'id': 1667, 'name': 'pimp'}, {'id': 2483, 'name': 'nudity'}, {'id': 41515, 'name': 'gay parent'}, {'id': 163127, 'name': 'mexican'}, {'id': 180523, 'name': 'neighborhood'}]",FALSE,0,Drama,tt0112619,es,El Callejón de los Milagros,5/5/95,0,140,"[{'iso_639_1': 'es', 'name': 'Español'}]",Released,Midaq Alley,1795,112619,3.11,Naguib Mahfouz/Trevor Le Gassick,3.85,286,4815,Anchor Books,3682
17,48,25430,"[{'id': 531, 'name': 'southern usa'}, {'id': 818, 'name': 'based on novel'}, {'id': 918, 'name': 'newspaper'}, {'id': 3089, 'name': 'oscar award'}, {'id': 5744, 'name': 'governor'}, {'id': 6078, 'name': 'politics'}, {'id': 6083, 'name': 'politician'}, {'id': 6974, 'name': 'rise and fall'}, {'id': 12193, 'name': 'reporter'}, {'id': 14548, 'name': 'political assassination'}, {'id': 156024, 'name': 'corrupt politician'}, {'id': 179017, 'name': 'hick'}]",FALSE,0,Drama,tt0041113,en,All the King's Men,11/8/49,0,109,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,All the King's Men,1942,41113,3.9,Robert Penn Warren,4.09,439,47324,Harcourt Brace,1742
18,50,24808,"[{'id': 291, 'name': 'circus'}, {'id': 616, 'name': 'witch'}, {'id': 818, 'name': 'based on novel'}, {'id': 952, 'name': 'lightning'}, {'id': 1566, 'name': 'dream'}, {'id': 2158, 'name': 'maze'}, {'id': 2857, 'name': 'elephant'}, {'id': 3199, 'name': 'clown'}, {'id': 3473, 'name': 'carnival'}, {'id': 3986, 'name': 'spider'}, {'id': 4252, 'name': 'black magic'}, {'id': 5202, 'name': 'boy'}, {'id': 11181, 'name': 'decapitation'}, {'id': 14527, 'name': 'storm'}, {'id': 14792, 'name': 'tarantula'}, {'id': 33505, 'name': 'gothic'}, {'id': 163075, 'name': 'sideshow'}, {'id': 166109, 'name': 'child murder'}, {'id': 178883, 'name': 'autumn'}, {'id': 230951, 'name': 'lightning rod'}]",FALSE,19000000,Fantasy,tt0086336,en,Something Wicked This Way Comes,4/29/83,5656087,95,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Something Wicked This Way Comes,2097,86336,3.39,Ray Bradbury,3.94,293,834,Bookspan,5470
19,51,10489,"[{'id': 818, 'name': 'based on novel'}, {'id': 3300, 'name': 'cadillac'}, {'id': 8874, 'name': ""st. bernard's dog""}, {'id': 9862, 'name': 'dam'}, {'id': 10471, 'name': 'cult favorite'}, {'id': 13092, 'name': 'corpse'}, {'id': 18064, 'name': 'singing in a car'}, {'id': 158303, 'name': 'rabies'}, {'id': 158307, 'name': 'rabid dog'}, {'id': 158317, 'name': 'rabbit hole'}, {'id': 199236, 'name': 'mad dog'}]",FALSE,5000000,Horror,tt0085382,en,Cujo,8/10/83,21200000,91,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,Cujo,2121,85382,2.76,Stephen King,3.71,432,197993,Plaza y Janés,1045
20,52,138,"[{'id': 272, 'name': 'transylvania'}, {'id': 818, 'name': 'based on novel'}, {'id': 1299, 'name': 'monster'}, {'id': 3098, 'name': 'castle'}, {'id': 3133, 'name': 'vampire'}, {'id': 3633, 'name': 'dracula'}, {'id': 3986, 'name': 'spider'}, {'id': 6932, 'name': 'count'}, {'id': 10181, 'name': 'based on play or musical'}, {'id': 10327, 'name': 'undead'}, {'id': 10482, 'name': 'sanitarium'}, {'id': 155489, 'name': 'classic horror'}, {'id': 193227, 'name': 'lunatic'}]",FALSE,355000,Horror,tt0021814,en,Dracula,2/12/31,1012189,72,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}, {'iso_639_1': 'hu', 'name': 'Magyar'}]",Released,Dracula,2644,21814,3.69,Bram Stoker/Jan Needle/Gary Blythe,3.99,336,73,Walker Books Ltd,197993
21,57,10349,"[{'id': 798, 'name': 'sheriff'}, {'id': 818, 'name': 'based on novel'}, {'id': 1936, 'name': 'blackmail'}, {'id': 3096, 'name': 'book'}, {'id': 3125, 'name': 'razor'}, {'id': 8802, 'name': 'pseudonym'}, {'id': 9181, 'name': 'alter ego'}, {'id': 9927, 'name': 'maine'}, {'id': 10818, 'name': 'author'}, {'id': 14512, 'name': 'new york city'}, {'id': 18035, 'name': 'family'}, {'id': 166512, 'name': 'graveyard'}, {'id': 183515, 'name': 'high toned'}, {'id': 188989, 'name': 'supernatural power'}]",FALSE,15000000,Mystery,tt0106664,en,The Dark Half,4/23/93,10611160,122,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Dark Half,2898,106664,2.8,Stephen King,3.77,469,110131,New English Library,2433
22,59,11005,"[{'id': 732, 'name': 'coma'}, {'id': 818, 'name': 'based on novel'}, {'id': 2618, 'name': 'miracle'}, {'id': 3609, 'name': 'frustration'}, {'id': 3929, 'name': 'hope'}, {'id': 9672, 'name': 'based on true story'}, {'id': 11612, 'name': 'hospital'}, {'id': 33977, 'name': 'medical experiment'}, {'id': 40895, 'name': 'illness'}, {'id': 187056, 'name': 'woman director'}, {'id': 191311, 'name': 'comatose'}]",FALSE,0,Drama,tt0099077,en,Awakenings,12/19/90,52096475,120,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Awakenings,3105,99077,3.76,Oliver Sacks,4.1,464,8982,Vintage,502726
23,60,497,"[{'id': 531, 'name': 'southern usa'}, {'id': 577, 'name': 'black people'}, {'id': 791, 'name': 'mentally disabled'}, {'id': 818, 'name': 'based on novel'}, {'id': 2499, 'name': 'heal'}, {'id': 2501, 'name': 'death row'}, {'id': 2881, 'name': 'jail guard'}, {'id': 5571, 'name': 'great depression'}, {'id': 9774, 'name': 'prison guard'}, {'id': 11263, 'name': 'electric chair'}, {'id': 156597, 'name': 'magic realism'}, {'id': 167696, 'name': 'healing'}, {'id': 180162, 'name': 'death row inmate'}, {'id': 214548, 'name': '1930s'}]",FALSE,60000000,Fantasy,tt0120689,en,The Green Mile,12/10/99,284600000,189,"[{'iso_639_1': 'fr', 'name': 'Français'}, {'iso_639_1': 'en', 'name': 'English'}]",Released,The Green Mile,3147,120689,4.02,Stephen King,4.44,592,207869,Penguin Signet,11981
24,61,8293,"[{'id': 818, 'name': 'based on novel'}, {'id': 1156, 'name': 'sister sister relationship'}, {'id': 2386, 'name': 'empowerment'}, {'id': 5923, 'name': 'sister'}, {'id': 205850, 'name': 'turn of the century'}, {'id': 234626, 'name': 'edwardian england'}]",FALSE,0,Drama,tt0104454,en,Howards End,3/13/92,25966555,140,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'de', 'name': 'Deutsch'}]",Released,Howards End,3260,104454,3.76,E.M. Forster,3.96,246,54765,Dover Publications,197
25,65,11027,"[{'id': 572, 'name': 'sex'}, {'id': 596, 'name': 'adultery'}, {'id': 718, 'name': 'confession'}, {'id': 818, 'name': 'based on novel'}, {'id': 1523, 'name': 'obsession'}, {'id': 2483, 'name': 'nudity'}, {'id': 9714, 'name': 'remake'}, {'id': 9826, 'name': 'murder'}, {'id': 9937, 'name': 'suspense'}, {'id': 10410, 'name': 'conspiracy'}, {'id': 207268, 'name': 'neo-noir'}]",FALSE,12000000,Romance,tt0082934,en,The Postman Always Rings Twice,3/20/81,0,122,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Postman Always Rings Twice,3529,82934,3.36,James M. Cain,3.8,116,23157,Orion,61545
26,66,1359,"[{'id': 818, 'name': 'based on novel'}, {'id': 5636, 'name': 'wall street'}, {'id': 6259, 'name': 'psychopath'}, {'id': 174075, 'name': 'white collar'}, {'id': 174076, 'name': 'harvard business school'}, {'id': 174085, 'name': 'child of divorce'}, {'id': 174089, 'name': 'unreliable narrator'}, {'id': 187056, 'name': 'woman director'}, {'id': 217076, 'name': 'voice imitation'}]",FALSE,7000000,Thriller,tt0144084,en,American Psycho,4/13/00,34266564,102,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'es', 'name': 'Español'}, {'iso_639_1': 'cn', 'name': '广州话 / 廣州話'}]",Released,American Psycho,3535,144084,3.57,Bret Easton Ellis,3.82,399,844,Picador,333332
27,67,18801,"[{'id': 818, 'name': 'based on novel'}, {'id': 1328, 'name': 'secret'}, {'id': 1992, 'name': 'professor'}, {'id': 2483, 'name': 'nudity'}, {'id': 6152, 'name': 'supernatural'}, {'id': 9826, 'name': 'murder'}, {'id': 10224, 'name': 'haunting'}, {'id': 18035, 'name': 'family'}, {'id': 184130, 'name': 'doubt'}]",FALSE,0,Mystery,tt0113269,en,Haunted,10/27/95,0,108,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Haunted,3960,113269,2.97,Chuck Palahniuk,3.59,419,78280,Anchor,786667
28,70,10339,"[{'id': 818, 'name': 'based on novel'}, {'id': 1316, 'name': 'captain'}, {'id': 1422, 'name': 'boat'}, {'id': 1523, 'name': 'obsession'}, {'id': 2580, 'name': 'shipwreck'}, {'id': 4327, 'name': 'stroke of fate'}, {'id': 4676, 'name': 'whale'}, {'id': 7240, 'name': 'walrus'}, {'id': 9748, 'name': 'revenge'}]",FALSE,4500000,Adventure,tt0049513,en,Moby Dick,6/27/56,10400000,116,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,Moby Dick,4429,49513,3.58,Herman Melville/William Hootkins,3.5,25,67,Naxos Audiobooks,984
29,73,11308,"[{'id': 236, 'name': 'suicide'}, {'id': 258, 'name': 'bomb'}, {'id': 549, 'name': 'prostitute'}, {'id': 570, 'name': 'rape'}, {'id': 572, 'name': 'sex'}, {'id': 612, 'name': 'hotel'}, {'id': 818, 'name': 'based on novel'}, {'id': 949, 'name': 'terrorist'}, {'id': 1721, 'name': 'fight'}, {'id': 2483, 'name': 'nudity'}, {'id': 8201, 'name': 'satire'}]",FALSE,7500000,Comedy,tt0087428,en,The Hotel New Hampshire,3/9/84,0,109,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Hotel New Hampshire,4692,87428,2.97,John Irving,3.9,520,51267,Black Swan,2539
30,75,40885,"[{'id': 233, 'name': 'japan'}, {'id': 818, 'name': 'based on novel'}, {'id': 3779, 'name': 'air force'}, {'id': 162701, 'name': 'racial prejudice'}]",FALSE,0,Drama,tt0050933,en,Sayonara,12/5/57,0,147,"[{'iso_639_1': 'en', 'name': 'English'}, {'iso_639_1': 'ja', 'name': '日本語'}]",Released,Sayonara,4805,50933,3.38,James A. Michener,3.81,208,1848,Fawcett,15982
31,76,2637,"[{'id': 818, 'name': 'based on novel'}, {'id': 1415, 'name': 'small town'}, {'id': 1566, 'name': 'dream'}, {'id': 2669, 'name': 'motel'}, {'id': 3298, 'name': 'hallucination'}, {'id': 3450, 'name': 'bridge'}, {'id': 4862, 'name': 'alien life-form'}, {'id': 4949, 'name': 'warning'}, {'id': 6622, 'name': 'tumor'}, {'id': 8232, 'name': 'west virginia'}, {'id': 9955, 'name': 'urban legend'}, {'id': 10170, 'name': 'premonition'}, {'id': 10904, 'name': 'telephone call'}, {'id': 11612, 'name': 'hospital'}, {'id': 12193, 'name': 'reporter'}, {'id': 14742, 'name': 'psychic'}, {'id': 15198, 'name': 'car wreck'}, {'id': 208397, 'name': 'death of wife'}, {'id': 230413, 'name': 'mothman'}, {'id': 238137, 'name': 'mysterious events'}, {'id': 238138, 'name': 'chemical plant'}]",FALSE,32000000,Drama,tt0265349,en,The Mothman Prophecies,1/25/02,55157539,119,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,The Mothman Prophecies,5065,265349,3.09,John A. Keel,3.54,352,117,Hodder & Stoughton,196135
32,77,10229,"[{'id': 818, 'name': 'based on novel'}, {'id': 4333, 'name': 'theatre group'}, {'id': 5922, 'name': 'north carolina'}, {'id': 6034, 'name': 'theatre milieu'}, {'id': 6270, 'name': 'high school'}, {'id': 10163, 'name': 'cancer'}, {'id': 10683, 'name': 'coming of age'}, {'id': 10703, 'name': 'tragic love'}, {'id': 13130, 'name': 'teenager'}, {'id': 165086, 'name': 'star crossed lovers'}]",FALSE,11000000,Drama,tt0281358,en,A Walk to Remember,1/25/02,41227069,101,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,A Walk to Remember,5066,281358,3.43,Nicholas Sparks,4.17,240,555995,Grand Central Publishing,78510
33,78,12227,"[{'id': 818, 'name': 'based on novel'}, {'id': 1321, 'name': 'gold'}, {'id': 1454, 'name': 'treasure'}, {'id': 1909, 'name': 'coffin'}, {'id': 2526, 'name': 'human animal relationship'}, {'id': 6054, 'name': 'friendship'}, {'id': 9880, 'name': 'alaska'}, {'id': 10950, 'name': 'shootout'}, {'id': 15162, 'name': 'dog'}, {'id': 162726, 'name': 'prospector'}, {'id': 180808, 'name': 'klondike'}, {'id': 189390, 'name': 'yukon'}, {'id': 189391, 'name': 'boy dog relationship'}, {'id': 189392, 'name': 'gold miner'}]",FALSE,14000000,Action,tt0103247,en,White Fang,1/18/91,34793160,107,"[{'iso_639_1': 'en', 'name': 'English'}]",Released,White Fang,5361,103247,3.17,Jack London,3.98,252,119589,Scholastic Paperbacks,6214
